State,Band Name,Date
"Mercury Lounge | New York, NY",Nico Vega,TODAY 6:00 PM
"Antone's Nightclub | Austin, TX",Kelsy Karter & The Heroines w/ Alexa Villa and Emi Jeen,WED MAR 27
"Marquis | Denver, CO",Sarah and the Sundays,WED MAR 27
"The East Room | Nashville, TN",Palomino / Ben Patrick / Groove Inn / Meet Me Out Front,WED MAR 27
"The Peppermint Club | Los Angeles, CA",Breaking Sound March 27 2024 at The Peppermint Club,WED MAR 27
"The Echo | Los Angeles, CA","Video Age with Marci, and Primer",WED MAR 27
"Hollywood Palladium | Hollywood, CA",KCRW presents Romy - Club Mid Air,WED MAR 27
"The Masonic | San Francisco, CA","Alkaline Trio: Blood, Hair, And Eyeballs The Tour",WED MAR 27
"Velvet Underground | Toronto, ON","Comeback Kid with Spy, Prowl, Indian Giver, Fight On Sight",THU MAR 28
"Empire Underground | Albany, NY",The Broken View,THU MAR 28
"White Oak Music Hall - Downstairs | Houston, TX",Hail The Sun & Intervals: Spring 2024,THU MAR 28
"Bogart's | Cincinnati, OH",Less Than Jake: Return To Rockview 2024,THU MAR 28
"The Masquerade - Altar | Atlanta, GA",worlds greatest dad,THU MAR 28
"The Vogel at Count Basie Center for the Arts | Red Bank, NJ","Eric Hutchinson Band: ""Sounds Like This"" 15th Anniversary Tour",THU MAR 28
"Jimmy's Jazz and Blues Club | Portsmouth, NH",Gary Hoey,THU MAR 28
"White Oak Music Hall - Upstairs | Houston, TX",Laetitia Sadier with Sofia Bolt,THU MAR 28
"Stubb's Waller Creek Amphitheater | Austin , TX",Chelsea Cutler - The Beauty Is Everywhere Tour,THU MAR 28
"Garcia's at The Capitol Theatre | Port Chester, NY",The Nuclear Heartbreak,THU MAR 28
"The Apollo's Historic Theater | New York, NY","The Jazz Foundation of America ""A Great Night in Harlem"" Gala Concert",THU MAR 28
"The Orpheum Theatre Memphis | Memphis, TN",GOLDEN GIRLS - The Laughs Continue,THU MAR 28
"Templelive Fort Smith | Fort Smith, AR",Nita Strauss,THU MAR 28
"Black Sheep | Colorado Springs, CO","We Are Not a Glum Lot, North By North, Glitter Porn, Gatehouse",THU MAR 28
"Constellation Room | Santa Ana, CA",Electric Guest,THU MAR 28
"The Grand (Boston) | Boston, MA",DJ Spinking,THU MAR 28
"The Echo | Los Angeles, CA","Hotline TNT: Cartwheel Tour with Matrix, & Object of Affection",THU MAR 28
"Neck of the Woods | San Francisco, CA",Saint Luna/ Mom Cars/ So Pitted/ The Moondrops,THU MAR 28
"The Moroccan Lounge | Los Angeles, CA",DUM DUM Presents: Taleen Kali,THU MAR 28
"Mercury Lounge | New York, NY",The Sees,FRI MAR 29
"PNC Arena | Raleigh, NC",Avenged Sevenfold: Life Is But A Dream...North American Tour,FRI MAR 29
"Bogart's | Cincinnati, OH",Bilmuri,FRI MAR 29
"The Bronze Peacock at House of Blues Houston | Houston, TX",Noahfinnce,FRI MAR 29
"White Oak Music Hall - Upstairs | Houston, TX",Haley Heynderickx w/ Special Guest Andrew Stonestreet - Early Show,FRI MAR 29
"House of Blues Houston | Houston, TX",Ministry x Gary Numan x Front Line Assembly,FRI MAR 29
"Greensboro Coliseum Complex | Greensboro, NC",Lynyrd Skynyrd & ZZ Top : The Sharp Dressed Simple Man Tour,FRI MAR 29
"Roxian Theatre | Pittsburgh, PA",Too Many Zooz: Retail Therapy Tour,FRI MAR 29
"The Wonder Bar | Asbury Park, NJ",Kendall Street Company,FRI MAR 29
"Tellus 360 | Lancaster, PA",Clap Your Hands Say Yeah,FRI MAR 29
"Ludlow Garage Cincinnati | Cincinnati, OH",Jesus Jones,FRI MAR 29
"White Oak Music Hall - Downstairs | Houston, TX",Indigo De Souza with Humbird,FRI MAR 29
"Garcia's at The Capitol Theatre | Port Chester, NY",8Track,FRI MAR 29
"Manchester Music Hall | Lexington, KY",A Flock of Seagulls w/ STRANGELOVE: The Depeche Mode Experience,FRI MAR 29
"Riverside Revival | Nashville, TN",Sam Grisman Project,FRI MAR 29
"Mercury Lounge | New York, NY","Pan Arcadia, Rose Paradise, True Jackson",FRI MAR 29
"Thalia Hall | Chicago, IL",Ax and the Hatchetmen with Capital Soiree and Van Go Go,FRI MAR 29
"High Noon Saloon | Madison, WI",Deerhoof,FRI MAR 29
"Toyota Center | Houston, TX",Madonna - The Celebration Tour,FRI MAR 29
"The Pearl | Vancouver, BC",Good Kid - This Can't Be The End Tour,FRI MAR 29
"Constellation Room | Santa Ana, CA",Leftover Crack,FRI MAR 29
"The Parish at House of Blues Anaheim | Anaheim, CA",Island Block Concert Series: FIA,FRI MAR 29
"The Belasco | Los Angeles, CA",Sleater-Kinney,FRI MAR 29
"The Fillmore | San Francisco, CA",CHELSEA WOLFE,FRI MAR 29
"Neck of the Woods | San Francisco, CA",The Drowns/ Tess & The Details/ States of Nature,FRI MAR 29
"Thunderbird Lounge | Phoenix, AZ",Donna Missal,FRI MAR 29
"The New Parish | Oakland, CA",Madi Diaz: the Weird Faith Tour with Daniel Nunnelee,FRI MAR 29
"Brooklyn Bowl Las Vegas | Las Vegas, NV",Emo Night Brooklyn,FRI MAR 29
"Copper Blues Oxnard Resturant | Oxnard, CA",Heart & Soul,FRI MAR 29
"Metro Gallery | Baltimore, MD",'68,SAT MAR 30
"House of Blues Houston | Houston, TX",Waterparks,SAT MAR 30
"House of Blues Myrtle Beach | North Myrtle Beach, SC",84 with Excitable - Tributes to Van Halen and Def Leppard,SAT MAR 30
"The Opera House | Toronto, ON",Trans-Canada Highwaymen,SAT MAR 30
"Charleston Coliseum | Charleston, WV",Lynyrd Skynyrd & ZZ Top: The Sharp Dressed Simple Man Tour,SAT MAR 30
"9:30 CLUB | Washington, DC",Josiah and the Bonnevilles,SAT MAR 30
"The Wonder Bar | Asbury Park, NJ",Anthony Krizan Band With Speicial Guest Res X,SAT MAR 30
"The Sanctuary Detroit | Hamtramck, MI","Spy, Unabomb, Sawchuk",SAT MAR 30
"The Belasco | Los Angeles, CA",Nothing performing 'Guilty of Everything',SAT MAR 30
"The Factory | St. Louis, MO",Zebra,SAT MAR 30
"Avondale Brewing Co. | Birmingham, AL",The Stolen Faces: A Tribute to 1970,SAT MAR 30
"Le Club Square Dix30 | Brossard, QC",Émile Bilodeau,SAT MAR 30
"Ponte Vedra Concert Hall | Ponte Vedra Beach, FL",Al Stewart with his band The Empty Pockets,SAT MAR 30
"Brooklyn Made | Brooklyn , NY",Underground Springhouse / Of Good Nature,SAT MAR 30
"St. George Theatre | Staten Island, NY",Celebrating Meat Loaf: With The Neverland Express & Caleb Johnson,SAT MAR 30
"Bergen Performing Arts Center | Englewood, NJ",Magical Mystery Doors,SAT MAR 30
"Den 1880 | Waterloo, ON",Ariel Posen,SAT MAR 30
"Majestic Theatre | Madison, WI",Rock N Roll High School: A Tribute To All Things Punk!,SAT MAR 30
"The Depot | Salt Lake City, UT",Halloween Never Dies Vol 2,SAT MAR 30
"Subterranean | Chicago, IL","Post Sex Nachos, Fox Royale, Arboretum",SAT MAR 30
"The Pageant | St Louis, MO",Midwest Rushfest featuring THUNDERHEAD: The Rush Experience,SAT MAR 30
"Rose Music Hall | Columbia, MO",Radkey,SAT MAR 30
"Constellation Room | Santa Ana, CA",Mary Timony,SAT MAR 30
"The Moroccan Lounge | Los Angeles, CA",Delicate Steve,SAT MAR 30
"Century Casino | Edmonton, AB",Killer Dwarfs,SAT MAR 30
"Commodore Ballroom | Vancouver, BC",Barney Bentall and the Legendary Hearts,SAT MAR 30
"The 44 Sports Grill and Nightlife | Glendale, AZ","Crazy Town w/ Hollywood Gods and Monsters, and Incidental",SAT MAR 30
"The Echo | Los Angeles, CA","The Vices with Michael Isaak, & Sunburnt",SAT MAR 30
"The Parish at House of Blues Anaheim | Anaheim, CA",Skating Polly,SAT MAR 30
"191 Toole | Tucson, AZ",Vs Self @ 191 Toole,SAT MAR 30
"Reno Events Center | Reno, NV",Leo Ku,SAT MAR 30
"Gila River Resorts & Casinos - Wild Horse Pass | Chandler , AZ",Voyager - A Tribute to the Music of Journey,SAT MAR 30
"The Fillmore | San Francisco, CA",Kim Gordon,SAT MAR 30
"Stubb's Indoors | Austin, TX",Retro Cowgirl,SAT MAR 30
"House of Blues Orlando | Orlando, FL",Descendents and Circle Jerks Presented by WJRR,SUN MAR 31
"L'Olympia | Montreal, QC",Ciel Noir,SUN MAR 31
"Stubb's Indoors | Austin, TX",Sun Radio Presents: Nakia with Pelvis Wrestley and Junerise,SUN MAR 31
"Mercury Lounge | New York, NY","Sleepwell, Holiem, Glimmer, Cohort b",SUN MAR 31
"Solaris Beer & Blending | Murrieta, CA",LEFT OVER CRACK WITH LA POBRESKA AND INFORMAL SOCIETY LIVE IN CONCERT AT SOLARIS IN MURRIETA,SUN MAR 31
"Blueberry Hill Duck Room | St Louis, MO",Sun June And Wild Pink,SUN MAR 31
"The Moroccan Lounge | Los Angeles, CA","In Your Pocket Presents: Junior Mesa, SATCHY, and Aspen Forest",SUN MAR 31
"Birdland Theater | New York, NY",Vince Giordano and the Nighthawks,MON APR 1
"Velvet Underground | Toronto, ON",Eliza McLamb with Mini Trees,MON APR 1
"Albany Municipal Auditorium | Albany, GA",Classic Rock Show,MON APR 1
"Mercury Lounge | New York, NY",Stimmerman,MON APR 1
"The East Room | Nashville, TN",Arreis / BOURGEOIS / Lungs / MNERVA,MON APR 1
"Belk Theater | Charlotte, NC",Satch Vai Us Tour: Joe Satriani & Steve Vai,TUE APR 2
"Mercury Lounge | New York, NY",Nico Vega,TODAY 6:00 PM
"Bowery Ballroom | New York, NY",Dry Cleaning,TODAY 7:00 PM
"Jimmy's Jazz and Blues Club | Portsmouth, NH",Being Petty - Monday Night Local Artist Series,TODAY 7:00 PM
"Paradise Rock Club presented by Citizens | Boston, MA",Unwound (18+),TODAY 7:00 PM
"The Foundry | Philadelphia, PA",Between You and Me,TODAY 7:00 PM
"The Loft | Atlanta, GA",Autoheart,TODAY 7:00 PM
"Voodoo Room at the House of Blues San Diego | San Diego, CA",Daisy the Great,TODAY 7:00 PM
"The Moroccan Lounge | Los Angeles, CA","Our Jam w/ PrettyUgly, Tippy Balady, and Hailey Wild",TODAY 7:30 PM
"The Fillmore | San Francisco, CA",KMFDM,TODAY 8:00 PM
"The Regent Theater | Los Angeles, CA",Oops..Alaska Did It Again!,TODAY 8:00 PM
"The Atlantis | Washington, DC",The Rural Alberta Advantage,TOMORROW
"Spirit Hall | Pittsburgh, PA",The Armed,TOMORROW
"Empire Live | Albany, NY",The 69 Eyes,TOMORROW
"Brighton Music Hall presented by Citizens | Boston, MA",Live Nation Presents Surfer Girl,TOMORROW
"The Vogel at Count Basie Center for the Arts | Red Bank, NJ",Rick Wakeman,TOMORROW
"Théâtre Beanfield | Montreal, QC",Arlo Parks - My Soft Machine North American Tour,TOMORROW
"Reggie's Rock Club | Chicago, IL","Darkest Hour, I Am, Filth Is Eternal, Somnuri",TOMORROW
"The Brooklyn Arts Center | Wilmington, NC",The Steel Wheels,TOMORROW
"Hackensack Meridian Health Theatre at the Count Basie Center | Red Bank, NJ",Guster: We Also Have Eras,TOMORROW
"State Theatre | Portland, ME",Jeff Rosenstock,TOMORROW
"Music Farm | Charleston, SC",Turnover,TOMORROW
"Brooklyn Bowl Nashville | Nashville, TN",Bob Dylan,TOMORROW
"Mercury Lounge | New York, NY",Ax and the Hatchetmen,TOMORROW
"Black Sheep | Colorado Springs, CO","Teenage Bottlerocket, Authority Zero, Nobodys, the Sleights",TOMORROW
"SOMA - Mainstage | San Diego, CA",Bryce Vine: The Saturday Night Tour,TOMORROW
"Hollywood Pantages Theatre | Los Angeles, CA",Dancing with the Stars,TOMORROW
"Bogart's | Cincinnati, OH",Mom Jeans,WED MAR 27
"PPG Paints Arena | Pittsburgh, PA",Fall Out Boy - So Much For (2our) Dust,WED MAR 27
"The Garrison | Toronto, ON","Teen Mortgage with Death Lens, Black Budget",WED MAR 27
"OLG Stage at Fallsview Casino | Niagara Falls, ON",Breaking Benjamin,WED MAR 27
"Empire Underground | Albany, NY",Origami Angel,WED MAR 27
"9:30 CLUB | Washington, DC",GROUPLOVE: Rock And Roll You Won't Save Me Tour,WED MAR 27
"Birchmere | Alexandria, VA",The Zombies,WED MAR 27
"Jimmy's Jazz and Blues Club | Portsmouth, NH",Johnny A. Trio,WED MAR 27
"The Funhouse at Mr. Smalls | Millvale, PA",Ducks Ltd,WED MAR 27
"White Oak Music Hall - Upstairs | Houston, TX",Bayonne with Flavor Hour,WED MAR 27
"The Underground | Charlotte, NC",Otoboke Beaver,WED MAR 27
"Garcia's at The Capitol Theatre | Port Chester, NY",Sarah Elaz's Almost Phish,WED MAR 27
"Lexington Opera House | Lexington, KY",Colin Hay,WED MAR 27
"The Cambridge Room at House Of Blues | Dallas, TX",The Snuts - Millennials Tour,WED MAR 27
"The Vogue | Indianapolis, IN",The Glorious Sons x Southall,WED MAR 27
"Antone's Nightclub | Austin, TX",Kelsy Karter & The Heroines w/ Alexa Villa and Emi Jeen,WED MAR 27
"Marquis | Denver, CO",Sarah and the Sundays,WED MAR 27
"The East Room | Nashville, TN",Palomino / Ben Patrick / Groove Inn / Meet Me Out Front,WED MAR 27
"The Peppermint Club | Los Angeles, CA",Breaking Sound March 27 2024 at The Peppermint Club,WED MAR 27
"The Echo | Los Angeles, CA","Video Age with Marci, and Primer",WED MAR 27
"Hollywood Palladium | Hollywood, CA",KCRW presents Romy - Club Mid Air,WED MAR 27
"The Masonic | San Francisco, CA","Alkaline Trio: Blood, Hair, And Eyeballs The Tour",WED MAR 27
"Velvet Underground | Toronto, ON","Comeback Kid with Spy, Prowl, Indian Giver, Fight On Sight",THU MAR 28
"Empire Underground | Albany, NY",The Broken View,THU MAR 28
"White Oak Music Hall - Downstairs | Houston, TX",Hail The Sun & Intervals: Spring 2024,THU MAR 28
"Bogart's | Cincinnati, OH",Less Than Jake: Return To Rockview 2024,THU MAR 28
"The Masquerade - Altar | Atlanta, GA",worlds greatest dad,THU MAR 28
"The Vogel at Count Basie Center for the Arts | Red Bank, NJ","Eric Hutchinson Band: ""Sounds Like This"" 15th Anniversary Tour",THU MAR 28
"Jimmy's Jazz and Blues Club | Portsmouth, NH",Gary Hoey,THU MAR 28
"White Oak Music Hall - Upstairs | Houston, TX",Laetitia Sadier with Sofia Bolt,THU MAR 28
"Stubb's Waller Creek Amphitheater | Austin , TX",Chelsea Cutler - The Beauty Is Everywhere Tour,THU MAR 28
"Garcia's at The Capitol Theatre | Port Chester, NY",The Nuclear Heartbreak,THU MAR 28
"The Apollo's Historic Theater | New York, NY","The Jazz Foundation of America ""A Great Night in Harlem"" Gala Concert",THU MAR 28
"The Orpheum Theatre Memphis | Memphis, TN",GOLDEN GIRLS - The Laughs Continue,THU MAR 28
"Templelive Fort Smith | Fort Smith, AR",Nita Strauss,THU MAR 28
"Black Sheep | Colorado Springs, CO","We Are Not a Glum Lot, North By North, Glitter Porn, Gatehouse",THU MAR 28
"Constellation Room | Santa Ana, CA",Electric Guest,THU MAR 28
"The Grand (Boston) | Boston, MA",DJ Spinking,THU MAR 28
"The Echo | Los Angeles, CA","Hotline TNT: Cartwheel Tour with Matrix, & Object of Affection",THU MAR 28
"Neck of the Woods | San Francisco, CA",Saint Luna/ Mom Cars/ So Pitted/ The Moondrops,THU MAR 28
"The Moroccan Lounge | Los Angeles, CA",DUM DUM Presents: Taleen Kali,THU MAR 28
"Mercury Lounge | New York, NY",The Sees,FRI MAR 29
"PNC Arena | Raleigh, NC",Avenged Sevenfold: Life Is But A Dream...North American Tour,FRI MAR 29
"Bogart's | Cincinnati, OH",Bilmuri,FRI MAR 29
"The Bronze Peacock at House of Blues Houston | Houston, TX",Noahfinnce,FRI MAR 29
"White Oak Music Hall - Upstairs | Houston, TX",Haley Heynderickx w/ Special Guest Andrew Stonestreet - Early Show,FRI MAR 29
"House of Blues Houston | Houston, TX",Ministry x Gary Numan x Front Line Assembly,FRI MAR 29
"Greensboro Coliseum Complex | Greensboro, NC",Lynyrd Skynyrd & ZZ Top : The Sharp Dressed Simple Man Tour,FRI MAR 29
"Roxian Theatre | Pittsburgh, PA",Too Many Zooz: Retail Therapy Tour,FRI MAR 29
"The Wonder Bar | Asbury Park, NJ",Kendall Street Company,FRI MAR 29
"Tellus 360 | Lancaster, PA",Clap Your Hands Say Yeah,FRI MAR 29
"Ludlow Garage Cincinnati | Cincinnati, OH",Jesus Jones,FRI MAR 29
"White Oak Music Hall - Downstairs | Houston, TX",Indigo De Souza with Humbird,FRI MAR 29
"Garcia's at The Capitol Theatre | Port Chester, NY",8Track,FRI MAR 29
"Manchester Music Hall | Lexington, KY",A Flock of Seagulls w/ STRANGELOVE: The Depeche Mode Experience,FRI MAR 29
"Riverside Revival | Nashville, TN",Sam Grisman Project,FRI MAR 29
"Mercury Lounge | New York, NY","Pan Arcadia, Rose Paradise, True Jackson",FRI MAR 29
"Thalia Hall | Chicago, IL",Ax and the Hatchetmen with Capital Soiree and Van Go Go,FRI MAR 29
"High Noon Saloon | Madison, WI",Deerhoof,FRI MAR 29
"Toyota Center | Houston, TX",Madonna - The Celebration Tour,FRI MAR 29
"The Pearl | Vancouver, BC",Good Kid - This Can't Be The End Tour,FRI MAR 29
"Constellation Room | Santa Ana, CA",Leftover Crack,FRI MAR 29
"The Parish at House of Blues Anaheim | Anaheim, CA",Island Block Concert Series: FIA,FRI MAR 29
"The Belasco | Los Angeles, CA",Sleater-Kinney,FRI MAR 29
"The Fillmore | San Francisco, CA",CHELSEA WOLFE,FRI MAR 29
"Neck of the Woods | San Francisco, CA",The Drowns/ Tess & The Details/ States of Nature,FRI MAR 29
"Thunderbird Lounge | Phoenix, AZ",Donna Missal,FRI MAR 29
"The New Parish | Oakland, CA",Madi Diaz: the Weird Faith Tour with Daniel Nunnelee,FRI MAR 29
"Brooklyn Bowl Las Vegas | Las Vegas, NV",Emo Night Brooklyn,FRI MAR 29
"Copper Blues Oxnard Resturant | Oxnard, CA",Heart & Soul,FRI MAR 29
"Metro Gallery | Baltimore, MD",'68,SAT MAR 30
"House of Blues Houston | Houston, TX",Waterparks,SAT MAR 30
"House of Blues Myrtle Beach | North Myrtle Beach, SC",84 with Excitable - Tributes to Van Halen and Def Leppard,SAT MAR 30
"The Opera House | Toronto, ON",Trans-Canada Highwaymen,SAT MAR 30
"Charleston Coliseum | Charleston, WV",Lynyrd Skynyrd & ZZ Top: The Sharp Dressed Simple Man Tour,SAT MAR 30
"9:30 CLUB | Washington, DC",Josiah and the Bonnevilles,SAT MAR 30
"The Wonder Bar | Asbury Park, NJ",Anthony Krizan Band With Speicial Guest Res X,SAT MAR 30
"The Sanctuary Detroit | Hamtramck, MI","Spy, Unabomb, Sawchuk",SAT MAR 30
"The Belasco | Los Angeles, CA",Nothing performing 'Guilty of Everything',SAT MAR 30
"The Factory | St. Louis, MO",Zebra,SAT MAR 30
"Avondale Brewing Co. | Birmingham, AL",The Stolen Faces: A Tribute to 1970,SAT MAR 30
"Le Club Square Dix30 | Brossard, QC",Émile Bilodeau,SAT MAR 30
"Ponte Vedra Concert Hall | Ponte Vedra Beach, FL",Al Stewart with his band The Empty Pockets,SAT MAR 30
"Brooklyn Made | Brooklyn , NY",Underground Springhouse / Of Good Nature,SAT MAR 30
"St. George Theatre | Staten Island, NY",Celebrating Meat Loaf: With The Neverland Express & Caleb Johnson,SAT MAR 30
"Bergen Performing Arts Center | Englewood, NJ",Magical Mystery Doors,SAT MAR 30
"Den 1880 | Waterloo, ON",Ariel Posen,SAT MAR 30
"Majestic Theatre | Madison, WI",Rock N Roll High School: A Tribute To All Things Punk!,SAT MAR 30
"The Depot | Salt Lake City, UT",Halloween Never Dies Vol 2,SAT MAR 30
"Subterranean | Chicago, IL","Post Sex Nachos, Fox Royale, Arboretum",SAT MAR 30
"The Pageant | St Louis, MO",Midwest Rushfest featuring THUNDERHEAD: The Rush Experience,SAT MAR 30
"Rose Music Hall | Columbia, MO",Radkey,SAT MAR 30
"Constellation Room | Santa Ana, CA",Mary Timony,SAT MAR 30
"The Moroccan Lounge | Los Angeles, CA",Delicate Steve,SAT MAR 30
"Century Casino | Edmonton, AB",Killer Dwarfs,SAT MAR 30
"Commodore Ballroom | Vancouver, BC",Barney Bentall and the Legendary Hearts,SAT MAR 30
"The 44 Sports Grill and Nightlife | Glendale, AZ","Crazy Town w/ Hollywood Gods and Monsters, and Incidental",SAT MAR 30
"The Echo | Los Angeles, CA","The Vices with Michael Isaak, & Sunburnt",SAT MAR 30
"The Parish at House of Blues Anaheim | Anaheim, CA",Skating Polly,SAT MAR 30
"191 Toole | Tucson, AZ",Vs Self @ 191 Toole,SAT MAR 30
"Reno Events Center | Reno, NV",Leo Ku,SAT MAR 30
"Gila River Resorts & Casinos - Wild Horse Pass | Chandler , AZ",Voyager - A Tribute to the Music of Journey,SAT MAR 30
"The Fillmore | San Francisco, CA",Kim Gordon,SAT MAR 30
"Stubb's Indoors | Austin, TX",Retro Cowgirl,SAT MAR 30
"House of Blues Orlando | Orlando, FL",Descendents and Circle Jerks Presented by WJRR,SUN MAR 31
"L'Olympia | Montreal, QC",Ciel Noir,SUN MAR 31
"Stubb's Indoors | Austin, TX",Sun Radio Presents: Nakia with Pelvis Wrestley and Junerise,SUN MAR 31
"Mercury Lounge | New York, NY","Sleepwell, Holiem, Glimmer, Cohort b",SUN MAR 31
"Solaris Beer & Blending | Murrieta, CA",LEFT OVER CRACK WITH LA POBRESKA AND INFORMAL SOCIETY LIVE IN CONCERT AT SOLARIS IN MURRIETA,SUN MAR 31
"Blueberry Hill Duck Room | St Louis, MO",Sun June And Wild Pink,SUN MAR 31
"The Moroccan Lounge | Los Angeles, CA","In Your Pocket Presents: Junior Mesa, SATCHY, and Aspen Forest",SUN MAR 31
"Birdland Theater | New York, NY",Vince Giordano and the Nighthawks,MON APR 1
"Velvet Underground | Toronto, ON",Eliza McLamb with Mini Trees,MON APR 1
"Albany Municipal Auditorium | Albany, GA",Classic Rock Show,MON APR 1
"Mercury Lounge | New York, NY",Stimmerman,MON APR 1
"The East Room | Nashville, TN",Arreis / BOURGEOIS / Lungs / MNERVA,MON APR 1
"Belk Theater | Charlotte, NC",Satch Vai Us Tour: Joe Satriani & Steve Vai,TUE APR 2
"Palasad Social Bowl | London, ON","DZ Deathrays with Full Throttle, Falls For The Elderly & Avenoir",TUE APR 2
"Thalia Hall | Chicago, IL",Girlschool with Lillian Axe and Alcatrazz,TUE APR 2
"Ames Center | Burnsville, MN",Red Hot Chilli Pipers,TUE APR 2
"Marquis | Denver, CO",Brutus,TUE APR 2
"Chelsea’s Live | Baton Rouge, LA",Alejandro Escovedo,TUE APR 2
"The Parish at House of Blues Anaheim | Anaheim, CA",Anthony Green,TUE APR 2
"House of Blues San Diego | San Diego, CA",Loveless,TUE APR 2
"August Hall | San Francisco, CA",HEALTH,TUE APR 2
"Empire Underground | Albany, NY",Combichrist,WED APR 3
"The St. Augustine Amphitheatre | St Augustine, FL",REO Speedwagon,WED APR 3
"Ponte Vedra Concert Hall | Ponte Vedra Beach, FL",Mac McAnally,WED APR 3
"White Oak Music Hall - Downstairs | Houston, TX",Nicotine Dolls with Brooke Alexx,WED APR 3
"Antone's Nightclub | Austin, TX",Madds Buckley and Addison Grace w/ Isabel Pless,WED APR 3
"The Signal - Concert Hall | Chattanooga, TN",flipturn w/ Richy Mitch & The Coal Miners,WED APR 3
"Iron City | Birmingham, AL",Owl City,WED APR 3
"Knitting Factory at Baker Falls | New York, NY","Dick Valentine, Bill Carney",WED APR 3
"Bayou Music Center | Houston, TX",Queen of the Night: A Tribute to Whitney Houston,WED APR 3
"The Depot | Salt Lake City, UT",Gary Numan,WED APR 3
"Summit | Denver, CO",Between The Buried And Me Presents: The Colors Experience,WED APR 3
"Soundcheck | Washington, DC",Subdocta,WED APR 3
"Soundwell | Salt Lake City, UT",Loving,WED APR 3
"Rialto Theatre-Tucson | Tucson, AZ",Tom Keifer and LA Guns @ Rialto Theatre,WED APR 3
"OLG Stage at Fallsview Casino | Niagara Falls, ON",World Rock Symphony Orchestra,THU APR 4
"Rum Runners | London, ON","Dave Hause, the Drew Thomson Foundation",THU APR 4
"The Wonder Bar | Asbury Park, NJ",Couch,THU APR 4
"Brooklyn Made | Brooklyn , NY",Slow Bird - Album Release,THU APR 4
